,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
last_s[122],0.11655059224174404,0.08555994947708316,-0.008732088338978374,0.26158736271044075,122.23756334775115,93.44487388120423,0.9870189987039019,0.007928279153955215,0.006047598136599795
last_s[123],0.24067845817739997,0.06729478539345009,0.13647617491434594,0.33882977049655355,194.40579276949785,77.96441251583167,1.0077939686266455,0.004807941045117243,0.00568567370179856
last_s[124],-0.15763233751269762,0.2658626526464124,-0.557789019435382,0.2403811883706053,97.9230626276121,75.24991209122416,1.0126433588101418,0.02754202053759438,0.024799536517115896
last_s[125],0.049077579355625636,0.1987991410987848,-0.2713545002714061,0.3502186776739141,115.17379221482668,106.00553824852895,1.0011057614449024,0.01873131508571258,0.01404675471945193
last_s[126],-0.10645319881584339,0.20394548413670896,-0.41297701060911146,0.21103616229294261,95.28531375470801,87.22295266716753,1.0279625503142507,0.021733877457917057,0.017405558700786063
last_s[127],0.2817268063812286,0.06650186901727251,0.17281686218424047,0.3898502064170739,107.14155813294974,75.77782804499373,0.9971005035392023,0.006320270531160076,0.004273168743225777
last_s[128],-0.19298955567840426,0.15898081418404364,-0.4816865703835755,0.04726408923116009,158.09726329842564,127.52299876424551,1.033609724901925,0.012886152595381957,0.010038085386302928
last_s[129],-0.043923791544733824,0.19236263654037544,-0.37963510612083945,0.29990747517019306,19.29502136098044,45.388937266643595,1.0848714662865362,0.04009406072478621,0.016737810919759087
last_s[130],-0.11349543634474481,0.20541867468494465,-0.4338068112095092,0.13387113715801444,117.4822391655039,66.01638284112954,0.9989962212355851,0.017300151433410557,0.026533378123849597
last_s[131],-0.12005538294762592,0.09936767595004403,-0.2712529696641624,0.04810368755131826,129.72255910857913,72.42844888091712,1.0021231887732553,0.008687235414927922,0.007277304817340935
last_s[132],-0.2797748947784924,0.11168113060155425,-0.4676361446032631,-0.11291180062401253,96.96740979719986,110.56437336853791,0.9870827837795426,0.011757314053485518,0.007081242904596624
last_s[133],-0.13222738747839624,0.10847562482435863,-0.2903683826855166,0.05569893312562386,96.66177640532975,109.19218413839852,0.9955424732885166,0.010801351632193014,0.0072581448675284625
last_s[134],0.1629738681868365,0.07461767314985483,0.043579069572312425,0.2832200813251139,200.0,70.81403044341495,0.9950080314605682,0.005302847122779281,0.009557931668508586
last_s[135],0.0840006939538318,0.12777100749189743,-0.08997990756088854,0.2730793528762587,113.25494823222247,74.69831455071308,1.0048238997851797,0.011777208596154215,0.009565726740710765
last_s[136],-0.09336858964649902,0.18129152865830206,-0.4318232214145327,0.15755688140832175,134.32796586762805,90.25447598520658,1.0029761921197589,0.016806528943818056,0.01542897919278523
last_s[137],-0.04387332602964781,0.1547623595357587,-0.2851059422307537,0.1909762824815021,155.33315357288967,89.30069762424178,1.0082976068277802,0.012406422955081063,0.010445275721130503
last_s[138],-0.3315162941826588,0.15007957962080068,-0.5614490750041091,-0.09848334956525,115.64504505653206,114.69389025490987,0.9921540846597066,0.01361353207634729,0.013962635409219331
last_s[139],0.10403388798726511,0.21943861301634546,-0.29620568863934627,0.3844673725125466,128.04353063201856,64.8387321977101,0.997689178264102,0.020101934959559403,0.01977670766416466
last_s[140],-0.09550907327018802,0.225268604923507,-0.39164197976916487,0.23448743741543165,57.69870583070138,39.97864958633574,1.024364589250921,0.027736770235492383,0.027038290998984412
last_s[141],0.31113934674003824,0.07501336113853778,0.21077716545341907,0.43746588305049267,168.49857688292494,109.19218413839852,0.9948950177896723,0.0058584166456456515,0.00483560817193394
last_s[142],-0.17746112465604516,0.13077208536177432,-0.4000738145148998,-0.005286222014992645,172.86963059849944,110.56437336853791,0.997638458762161,0.010375137852637696,0.009114125644195397
last_s[143],-0.22603561822432122,0.15439106250557907,-0.4446565549599365,0.013380512818118065,83.18821766950649,65.3606301435111,0.9994069348590686,0.01699441243363406,0.012118052996572986
last_s[144],-0.01997058006975532,0.20662657453818922,-0.3714200788096845,0.27980651264915213,85.83938265955354,35.663171831222286,1.041489354583651,0.022305671814832968,0.017105172944066917
last_s[145],0.264540805057182,0.1063175320751834,0.09383683485674123,0.4262005739160424,197.8070554386663,109.61288799716748,1.0250306225848618,0.007661480852289741,0.0064330704948303225
last_s[146],-0.002792992619240472,0.08502083257128178,-0.1455306119334024,0.10621098621941419,135.29726864229443,101.12633345968487,1.0161441292852507,0.0073867140850915345,0.00868423341459026
last_s[147],-0.038581846081726615,0.09475717499205662,-0.1881454266141772,0.11560997059190137,115.35948262177749,113.93771199506624,0.9900393906514809,0.00883732367792368,0.005550798118945536
last_s[148],-0.0853486064773721,0.21126863987796035,-0.42260826295372406,0.2638876062285638,136.66270429510513,78.18964968490735,0.9829763626131148,0.017702388562482536,0.01839493309488301
last_s[149],0.1593915015466828,0.16415234311041946,-0.08674142112506499,0.42748248710330633,117.01631901550866,43.05405865335529,1.0520134689915421,0.014886760383998056,0.012838122284393372
last_s[150],0.05566339325026325,0.10018722183651615,-0.09902015101085891,0.20911846860193356,95.0369343687617,94.36845724765038,1.0073171927260363,0.01001854099148889,0.0061227191297984745
last_s[151],0.36221196148599,0.07827829219985262,0.25592523054763777,0.4789270639688753,120.8901206070303,102.32622542232068,1.0094983940516782,0.007421410648787627,0.007553895332785063
